code,price,open,high,low,volume,amount,bid_vol,ask_vol,turnover,updated_at
002601,13.9300,13.9800,14.2000,13.6600,245433,342882432.00,131310,114124,1.0294,2026-06-06 12:02:19.577001+00:00
002602,14.9400,14.8600,15.4500,14.8500,1356683,2059949056.00,693196,663488,1.8406,2026-06-06 12:02:19.577001+00:00
002603,15.4000,15.2500,15.5900,15.2500,124199,192042272.00,66916,57283,0.7434,2026-06-06 12:02:19.577001+00:00
002605,19.2000,18.6000,19.6000,18.6000,88858,171470064.00,50552,38306,2.1281,2026-06-06 12:02:19.577001+00:00
002606,13.8800,14.2400,14.3800,13.5400,348770,485409408.00,169338,179432,7.9433,2026-06-06 12:02:19.577001+00:00
002608,9.8300,10.4600,11.1300,9.6300,1717901,1750585600.00,765445,952457,4.5470,2026-06-06 12:02:19.577001+00:00
002609,7.7100,7.6400,7.8300,7.5300,63672,48907592.00,36127,27545,0.9896,2026-06-06 12:02:19.577001+00:00
002611,18.4300,17.7900,19.2400,17.2800,851288,1553383168.00,496981,354307,6.9933,2026-06-06 12:02:19.577001+00:00
002613,4.9600,4.5100,4.9600,4.3900,1222514,585531392.00,408387,814127,11.1080,2026-06-06 12:02:19.577001+00:00
002614,5.0900,5.0300,5.1700,5.0200,79877,40639560.00,41771,38106,1.2806,2026-06-06 12:02:19.577001+00:00
002615,8.0800,8.1700,8.3300,7.8700,146629,118082720.00,64241,82388,2.6193,2026-06-06 12:02:19.577001+00:00
002616,5.5900,5.8300,5.9300,5.5700,224076,127473392.00,88506,135570,2.6079,2026-06-06 12:02:19.577001+00:00
002617,8.5800,8.5700,8.7900,8.0800,1865445,1570152960.00,883591,981855,9.7710,2026-06-06 12:02:19.577001+00:00
002620,6.4600,6.4900,6.6300,6.4200,245694,161503936.00,96041,149653,0.0000,2026-06-06 12:02:19.577001+00:00
002623,18.4200,17.7300,19.2900,17.1800,78236,143019744.00,41363,36873,3.9302,2026-06-06 12:02:19.577001+00:00
002625,37.5000,38.4000,38.4600,37.3900,313454,1185826816.00,140993,172461,1.4548,2026-06-06 12:02:19.577001+00:00
002626,14.7800,14.8800,14.9900,14.6700,27468,40665348.00,11985,15483,0.4503,2026-06-06 12:02:19.577001+00:00
002627,7.1000,7.2700,7.6000,7.0000,345718,250920224.00,164368,181350,4.7711,2026-06-06 12:02:19.577001+00:00
002628,5.0400,5.0000,5.1100,4.9300,203623,102273616.00,107968,95655,0.0000,2026-06-06 12:02:19.577001+00:00
002629,5.1800,5.5000,5.5000,5.1600,286261,149665088.00,110589,175672,0.0000,2026-06-06 12:02:19.577001+00:00
002630,1.8500,1.8900,1.9400,1.8300,544981,102702488.00,274925,270057,0.0000,2026-06-06 12:02:19.577001+00:00
002631,7.4500,7.0500,7.4500,6.8100,449267,321759776.00,252862,196406,5.6350,2026-06-06 12:02:19.577001+00:00
002632,10.4900,10.2200,10.7700,10.0200,212505,221994560.00,115930,96575,3.4023,2026-06-06 12:02:19.577001+00:00
002633,17.2200,16.7000,17.6400,16.5300,28661,48892928.00,16805,11857,1.9107,2026-06-06 12:02:19.577001+00:00
002634,4.7800,4.8700,5.0300,4.6800,99533,48027340.00,44498,55035,0.0000,2026-06-06 12:02:19.577001+00:00
002635,17.6500,17.0800,18.0800,16.6100,409175,722496640.00,231976,177200,6.2026,2026-06-06 12:02:19.577001+00:00
002637,13.0900,12.8500,13.4800,12.8200,346311,454108256.00,173615,172696,7.3620,2026-06-06 12:02:19.577001+00:00
002639,15.1000,15.4400,15.7900,15.0400,440659,675265408.00,202204,238455,0.0000,2026-06-06 12:02:19.577001+00:00
002641,4.2200,4.1300,4.2800,4.1200,165590,69599288.00,101733,63858,1.3473,2026-06-06 12:02:19.577001+00:00
002642,7.6100,7.5400,7.7500,7.3600,188981,143206736.00,99051,89931,2.8565,2026-06-06 12:02:19.577001+00:00
002643,14.4100,14.2500,14.8000,13.5800,304157,433933792.00,154670,149487,3.3209,2026-06-06 12:02:19.577001+00:00
002645,31.1700,30.5900,33.0000,30.5900,1351987,4370561536.00,701036,650952,0.0000,2026-06-06 12:02:19.577001+00:00
002646,7.2700,7.2200,7.4000,7.2200,48896,35781828.00,25048,23849,1.0206,2026-06-06 12:02:19.577001+00:00
002647,12.1100,12.7000,12.8000,12.0000,359627,440592608.00,141860,217767,0.0000,2026-06-06 12:02:19.577001+00:00
002648,23.9700,23.0700,24.6700,22.6800,599555,1435463680.00,337904,261652,1.7798,2026-06-06 12:02:19.577001+00:00
002649,9.3100,9.3000,9.4700,9.1500,98469,91699104.00,50649,47820,0.0000,2026-06-06 12:02:19.577001+00:00
002650,7.4400,7.5400,7.5400,7.3500,33546,24868966.00,13451,20095,0.3030,2026-06-06 12:02:19.577001+00:00
002651,8.1600,7.9900,8.2500,7.9800,66649,54119524.00,38503,28146,0.6449,2026-06-06 12:02:19.577001+00:00
002652,5.0300,5.0500,5.1600,4.8600,242925,122013480.00,117151,125774,4.7440,2026-06-06 12:02:19.577001+00:00
002653,47.5800,49.3400,49.9200,47.5000,51124,247749312.00,23878,27247,0.4565,2026-06-06 12:02:19.577001+00:00
002654,15.0900,15.4000,15.7100,14.8500,599122,910144384.00,266993,332129,0.0000,2026-06-06 12:02:19.577001+00:00
002656,3.4100,3.3400,3.4300,3.2800,101198,33960768.00,53502,47696,1.4203,2026-06-06 12:02:19.577001+00:00
002658,7.8700,7.7800,7.9400,7.6300,92904,72412496.00,46644,46260,1.4613,2026-06-06 12:02:19.577001+00:00
002660,7.6500,7.4900,7.8400,7.3000,90140,68566296.00,47515,42625,2.5276,2026-06-06 12:02:19.577001+00:00
002661,7.7200,7.5600,7.7700,7.5500,26201,20141056.00,14989,11212,0.7865,2026-06-06 12:02:19.577001+00:00
002662,3.3600,3.3400,3.4000,3.2800,185575,62015412.00,88638,96937,1.2372,2026-06-06 12:02:19.577001+00:00
002663,1.8400,1.8600,1.9100,1.8300,406236,75621032.00,184480,221756,2.3572,2026-06-06 12:02:19.577001+00:00
002666,4.5200,4.5600,4.6400,4.4700,149381,68066256.00,64471,84910,1.8957,2026-06-06 12:02:19.577001+00:00
002667,23.2000,22.5100,23.7700,22.5000,225691,528580256.00,97630,128061,8.6607,2026-06-06 12:02:19.577001+00:00
002668,9.5500,9.2500,9.5900,9.2000,171622,162427968.00,89152,82470,1.5831,2026-06-06 12:02:19.577001+00:00
002669,16.6200,16.5700,17.0500,16.3300,587400,981449984.00,277910,309490,19.3606,2026-06-06 12:02:19.577001+00:00
002671,4.2900,4.2300,4.3600,4.1500,156019,66599392.00,77820,78199,2.7701,2026-06-06 12:02:19.577001+00:00
002672,3.6700,3.6400,3.7300,3.6300,118478,43511188.00,50373,68105,1.0720,2026-06-06 12:02:19.577001+00:00
002674,14.7400,14.7200,15.1000,14.3600,59229,87324648.00,31079,28151,2.0040,2026-06-06 12:02:19.577001+00:00
002675,12.5500,12.6300,12.7700,12.5200,74789,94311120.00,39298,35491,0.9070,2026-06-06 12:02:19.577001+00:00
002676,5.6200,5.5500,5.6800,5.4500,170899,95176056.00,81124,89776,2.3736,2026-06-06 12:02:19.577001+00:00
002678,6.2500,5.9700,6.4400,5.7200,298725,182387728.00,170632,128093,2.1992,2026-06-06 12:02:19.577001+00:00
002679,9.1700,9.0800,9.2700,8.8800,35732,32538610.00,19500,16232,1.5156,2026-06-06 12:02:19.577001+00:00
002681,5.1700,4.9000,5.3900,4.4900,1499378,743077312.00,803768,695611,8.3547,2026-06-06 12:02:19.577001+00:00
002682,5.1100,5.0100,5.1800,5.0100,166026,84589320.00,89494,76532,2.9523,2026-06-06 12:02:19.577001+00:00
002683,31.6800,31.3200,32.5700,30.4900,123143,389379392.00,64547,58596,1.6205,2026-06-06 12:02:19.577001+00:00
002685,7.2500,7.2300,7.3200,6.9600,357768,256426688.00,171359,186410,3.5504,2026-06-06 12:02:19.577001+00:00
