id,pick_date,stock_code,rank,score,signal_tags,risk_level,suggestion
598,2026-06-03,688375,39,2.24,,,
551,2026-06-03,000017,40,-1.83,,,
560,2026-06-03,300165,41,-0.81,,,
582,2026-06-03,600599,42,-1.96,,,
564,2026-06-03,300402,44,5.36,,,
593,2026-06-03,688126,47,2.31,,,
600,2026-06-03,688819,48,-0.81,,,
647,2026-05-29,688301,14,-0.87,,,
744,2026-05-25,688170,2,1.23,,,
737,2026-05-25,603256,3,-0.72,,,
732,2026-05-25,600714,6,3.15,,,
720,2026-05-25,300868,7,7.66,,,
727,2026-05-25,301312,8,-3.95,,,
746,2026-05-25,688308,9,6.80,,,
748,2026-05-25,688379,10,1.56,,,
734,2026-05-25,600828,12,-1.96,,,
708,2026-05-25,002484,13,4.95,,,
730,2026-05-25,600032,14,4.67,,,
745,2026-05-25,688228,15,-0.43,,,
713,2026-05-25,002947,16,-3.13,,,
731,2026-05-25,600226,17,0.33,,,
717,2026-05-25,300567,18,0.80,,,
710,2026-05-25,002552,20,-2.16,,,
740,2026-05-25,688072,21,3.27,,,
719,2026-05-25,300854,22,-3.92,,,
705,2026-05-25,002056,23,7.17,,,
721,2026-05-25,300936,25,2.88,,,
728,2026-05-25,301328,26,2.20,,,
725,2026-05-25,301189,27,-5.81,,,
711,2026-05-25,002645,28,8.86,,,
701,2026-05-25,000899,30,4.60,,,
716,2026-05-25,300475,31,1.08,,,
742,2026-05-25,688109,32,-1.89,,,
729,2026-05-25,301587,33,0.62,,,
743,2026-05-25,688168,34,3.23,,,
718,2026-05-25,300626,35,0.93,,,
733,2026-05-25,600791,36,10.03,,,
739,2026-05-25,688012,37,1.10,,,
724,2026-05-25,301115,38,20.01,,,
735,2026-05-25,600863,39,0.14,,,
726,2026-05-25,301273,40,6.62,,,
749,2026-05-25,688536,41,7.41,,,
736,2026-05-25,603186,44,-2.52,,,
738,2026-05-25,605055,45,-1.83,,,
702,2026-05-25,000962,46,1.26,,,
712,2026-05-25,002927,47,-2.86,,,
707,2026-05-25,002421,48,-1.81,,,
714,2026-05-25,002951,49,5.62,,,
715,2026-05-25,300041,50,-1.01,,,
579,2026-06-03,600265,2,5.01,,,
