id,code,report_date,report_type,total_revenue,net_profit,revenue_growth,profit_growth,total_assets,total_liabilities,net_assets,roe,eps,bps,gross_margin,net_margin,debt_ratio,created_at
24,000004,2025-06-30,中报,28502549.23,-44093296.57,,,279756462.34,249050683.96,0.00,0.0000,-0.3161,0.0000,57.4900,0.0000,89.0200,2026-06-05 20:22:51.749770+00:00
25,000006,2026-03-31,一季报,525203370.71,13735264.49,,,16081914709.07,9922628043.30,0.00,0.0000,0.0056,0.0000,15.6200,2.6200,61.7000,2026-06-05 20:22:51.749770+00:00
26,000006,2025-12-31,年报,2618016381.31,-35184349.28,,,16377088278.76,10241536877.48,0.00,0.0000,-0.0313,0.0000,19.1000,0.0000,62.5400,2026-06-05 20:22:51.749770+00:00
27,000006,2025-09-30,三季报,2204471396.50,8574845.56,,,17269311415.81,11090000819.69,0.00,0.0000,-0.0052,0.0000,18.5400,0.3900,64.2200,2026-06-05 20:22:51.749770+00:00
28,000006,2025-06-30,中报,1882706883.06,-72496827.47,,,16097408845.98,10479169922.89,0.00,0.0000,-0.0526,0.0000,16.3200,0.0000,65.1000,2026-06-05 20:22:51.749770+00:00
29,000007,2026-03-31,一季报,123755254.21,-3136867.94,,,341817371.35,149715266.34,0.00,0.0000,-0.0063,0.0000,9.4800,0.0000,43.8000,2026-06-05 20:25:56.613423+00:00
30,000007,2025-12-31,年报,395737287.76,628258.57,,,375744704.55,180420072.10,0.00,0.0000,0.0056,0.0000,12.3700,0.1600,48.0200,2026-06-05 20:25:56.613423+00:00
31,000007,2025-09-30,三季报,299846720.85,2464048.62,,,370543176.50,173464010.78,0.00,0.0000,0.0099,0.0000,11.3200,0.8200,46.8100,2026-06-05 20:25:56.613423+00:00
32,000007,2025-06-30,中报,193380855.42,2834952.11,,,315521517.91,121134129.88,0.00,0.0000,0.0098,0.0000,10.9300,1.4700,38.3900,2026-06-05 20:25:56.613423+00:00
33,000008,2026-03-31,一季报,240894658.01,-31131475.11,,,8376368278.41,6129047670.96,0.00,0.0000,-0.0112,0.0000,32.3300,0.0000,73.1700,2026-06-05 20:25:56.613423+00:00
34,000008,2025-12-31,年报,2120399134.77,-834941078.12,,,8718108829.55,6440810763.29,0.00,0.0000,-0.3075,0.0000,27.0000,0.0000,73.8800,2026-06-05 20:25:56.613423+00:00
35,000008,2025-09-30,三季报,1136467839.10,-88707088.78,,,9110247697.14,6090827881.12,0.00,0.0000,-0.0321,0.0000,27.1700,0.0000,66.8600,2026-06-05 20:25:56.613423+00:00
36,000008,2025-06-30,中报,572188981.51,-95175588.92,,,9225173679.54,6216217980.01,0.00,0.0000,-0.0350,0.0000,30.2100,0.0000,67.3800,2026-06-05 20:25:56.613423+00:00
37,000009,2026-03-31,一季报,5822809313.66,262312871.35,,,58318402807.42,35105649903.71,0.00,0.0000,0.0068,0.0000,25.0000,4.5000,60.2000,2026-06-05 20:25:56.613423+00:00
38,000009,2025-12-31,年报,23036275300.70,1350316848.00,,,56856587520.06,33990849197.09,0.00,0.0000,0.0787,0.0000,25.8200,5.8600,59.7800,2026-06-05 20:25:56.613423+00:00
39,000009,2025-09-30,三季报,16812458333.93,1318915652.14,,,56579430334.81,33714219247.08,0.00,0.0000,0.1098,0.0000,26.5700,7.8400,59.5900,2026-06-05 20:25:56.613423+00:00
40,000009,2025-06-30,中报,10839305325.03,842582575.04,,,56049197114.55,33664594000.16,0.00,0.0000,0.0945,0.0000,27.7600,7.7700,60.0600,2026-06-05 20:25:56.613423+00:00
